"Date Administered",AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,id
"09/02/2022 12:00:00 AM","25 - 49 Years",22.447271762476333,0.835,0.707,63
"09/02/2022 12:00:00 AM","50 - 64 Years",21.119696435761313,0.941,0.824,64
"09/02/2022 12:00:00 AM","65+ Years",23.44983121002506,0.95,0.922,65
"09/01/2022 12:00:00 AM","<2 Years",18.697627338341285,0.042,0.009,66
"08/14/2022 12:00:00 AM","50 - 64 Years",28.384728529763095,0.941,0.823,67
"09/01/2022 12:00:00 AM","2 - 4 Years",20.64521501755181,0.068,0.017,68
"08/14/2022 12:00:00 AM","65+ Years",31.269700883391582,0.95,0.921,69
"09/01/2022 12:00:00 AM","5 - 11 Years",18.09035587871179,0.383,0.312,70
"08/13/2022 12:00:00 AM","<2 Years",26.188072469313543,0.035,0.006,71
"09/01/2022 12:00:00 AM","12 - 17 Years",22.862171792566212,0.709,0.606,72
"08/13/2022 12:00:00 AM","2 - 4 Years",29.235841400694166,0.058,0.012,73
"09/01/2022 12:00:00 AM","18 - 24 Years",23.83441652494585,0.801,0.652,74
"08/13/2022 12:00:00 AM","5 - 11 Years",17.512320244477234,0.379,0.308,75
"09/01/2022 12:00:00 AM","25 - 49 Years",22.91910932222549,0.835,0.707,76
"09/01/2022 12:00:00 AM","50 - 64 Years",21.524482293190932,0.941,0.824,77
"08/13/2022 12:00:00 AM","12 - 17 Years",16.66166070667427,0.707,0.605,78
"08/13/2022 12:00:00 AM","18 - 24 Years",27.28350024437155,0.798,0.65,79
"08/13/2022 12:00:00 AM","25 - 49 Years",31.088499805137836,0.834,0.706,80
"08/13/2022 12:00:00 AM","50 - 64 Years",29.11211713728104,0.941,0.823,81
"09/01/2022 12:00:00 AM","65+ Years",23.68951968941891,0.95,0.922,82
"08/31/2022 12:00:00 AM","<2 Years",17.776183691277243,0.041,0.009,83
"08/31/2022 12:00:00 AM","2 - 4 Years",19.995055948852446,0.068,0.017,84
"08/31/2022 12:00:00 AM","5 - 11 Years",17.896003324021283,0.382,0.311,85
"08/13/2022 12:00:00 AM","65+ Years",31.66953403589753,0.95,0.921,86
"08/12/2022 12:00:00 AM","<2 Years",26.576961320359395,0.034,0.006,87
"08/12/2022 12:00:00 AM","2 - 4 Years",29.274922000452055,0.057,0.011,88
"08/12/2022 12:00:00 AM","5 - 11 Years",17.25619672279207,0.379,0.308,89
"08/12/2022 12:00:00 AM","12 - 17 Years",16.530889198231716,0.707,0.605,90
"08/12/2022 12:00:00 AM","18 - 24 Years",27.802091916549454,0.798,0.65,91
"08/12/2022 12:00:00 AM","25 - 49 Years",31.68745704386623,0.834,0.706,92
"08/12/2022 12:00:00 AM","50 - 64 Years",30.030433903014522,0.94,0.823,93
"10/11/2022 12:00:00 AM","<2 Years",2.091825698778462,0.052,0.017,94
"08/31/2022 12:00:00 AM","12 - 17 Years",22.357930561322654,0.708,0.606,95
"08/31/2022 12:00:00 AM","18 - 24 Years",22.76886900526582,0.8,0.652,96
"10/11/2022 12:00:00 AM","12 - 17 Years",2.389292538531211,0.711,0.608,97
"08/31/2022 12:00:00 AM","25 - 49 Years",22.212874185836153,0.835,0.707,98
"08/12/2022 12:00:00 AM","65+ Years",32.45519428864055,0.95,0.921,99
"08/31/2022 12:00:00 AM","50 - 64 Years",21.079285957565872,0.941,0.824,100
"08/31/2022 12:00:00 AM","65+ Years",23.558708446530314,0.95,0.922,101
"08/11/2022 12:00:00 AM","<2 Years",27.540513951294646,0.034,0.006,102
"08/11/2022 12:00:00 AM","2 - 4 Years",30.575240137850773,0.056,0.011,103
"08/11/2022 12:00:00 AM","5 - 11 Years",17.664487748537244,0.378,0.308,104
"08/30/2022 12:00:00 AM","<2 Years",17.992921108261392,0.041,0.009,105
"08/11/2022 12:00:00 AM","12 - 17 Years",16.938051143731894,0.706,0.605,106
"08/30/2022 12:00:00 AM","2 - 4 Years",19.975515648973506,0.067,0.017,107
"08/11/2022 12:00:00 AM","18 - 24 Years",29.273719879621304,0.798,0.65,108
"08/30/2022 12:00:00 AM","5 - 11 Years",18.407748164407916,0.382,0.311,109
"08/11/2022 12:00:00 AM","25 - 49 Years",32.909975330157714,0.834,0.706,110
"08/30/2022 12:00:00 AM","12 - 17 Years",22.41332285965858,0.708,0.606,111
"08/11/2022 12:00:00 AM","50 - 64 Years",31.027301373554877,0.94,0.823,112
"10/11/2022 12:00:00 AM","25 - 49 Years",4.375377337769257,0.84,0.71,113
"08/30/2022 12:00:00 AM","18 - 24 Years",22.23656798168121,0.8,0.652,114
"08/11/2022 12:00:00 AM","65+ Years",33.25089661659522,0.95,0.921,115
"08/30/2022 12:00:00 AM","25 - 49 Years",21.805323997558283,0.835,0.707,116
"10/10/2022 12:00:00 AM","<2 Years",2.888180893754513,0.052,0.017,117
"08/10/2022 12:00:00 AM","<2 Years",26.170733475954812,0.033,0.005,118
"08/30/2022 12:00:00 AM","50 - 64 Years",20.619560011803124,0.941,0.824,119
"10/10/2022 12:00:00 AM","2 - 4 Years",3.362707970076198,0.08,0.032,120
"10/10/2022 12:00:00 AM","5 - 11 Years",2.306116101133878,0.386,0.316,121
"10/10/2022 12:00:00 AM","12 - 17 Years",3.087692341261534,0.711,0.608,122
"08/10/2022 12:00:00 AM","2 - 4 Years",28.736675558332088,0.056,0.01,123
"08/10/2022 12:00:00 AM","5 - 11 Years",16.215632140573124,0.378,0.307,124
"08/30/2022 12:00:00 AM","65+ Years",23.668114213309867,0.95,0.922,125
"08/29/2022 12:00:00 AM","<2 Years",18.380571459781613,0.04,0.009,126
"10/10/2022 12:00:00 AM","18 - 24 Years",4.940566605224505,0.805,0.655,127
"08/10/2022 12:00:00 AM","12 - 17 Years",15.826207794659172,0.706,0.605,128
"08/10/2022 12:00:00 AM","18 - 24 Years",29.401831404835722,0.798,0.65,129
"10/10/2022 12:00:00 AM","25 - 49 Years",5.533740531131575,0.84,0.71,130
"08/29/2022 12:00:00 AM","2 - 4 Years",20.43915367337387,0.066,0.016,131
"08/10/2022 12:00:00 AM","25 - 49 Years",33.07836591427902,0.834,0.706,132
"10/10/2022 12:00:00 AM","50 - 64 Years",4.938932321021492,0.946,0.827,133
"08/10/2022 12:00:00 AM","50 - 64 Years",31.147851732666,0.94,0.823,134
"08/29/2022 12:00:00 AM","5 - 11 Years",18.804488521528075,0.382,0.311,135
"08/10/2022 12:00:00 AM","65+ Years",33.08229545909436,0.95,0.921,136
"08/29/2022 12:00:00 AM","12 - 17 Years",22.232869599100297,0.708,0.606,137
"08/09/2022 12:00:00 AM","<2 Years",26.403571386772064,0.033,0.005,138
"08/29/2022 12:00:00 AM","18 - 24 Years",21.977508513719954,0.8,0.652,139
"08/09/2022 12:00:00 AM","2 - 4 Years",28.379620987816875,0.055,0.01,140
"10/10/2022 12:00:00 AM","65+ Years",6.052992966390462,0.95,0.928,141
"08/29/2022 12:00:00 AM","25 - 49 Years",21.98191585129115,0.835,0.707,142
"10/09/2022 12:00:00 AM","<2 Years",3.783616050780462,0.052,0.017,143
"08/29/2022 12:00:00 AM","50 - 64 Years",20.529885074234592,0.941,0.824,144
"10/09/2022 12:00:00 AM","2 - 4 Years",4.162083874214755,0.08,0.032,145
"08/29/2022 12:00:00 AM","65+ Years",23.67789202338437,0.95,0.922,146
"10/09/2022 12:00:00 AM","5 - 11 Years",2.830416016112921,0.386,0.316,147
"08/09/2022 12:00:00 AM","5 - 11 Years",15.7305040583224,0.378,0.307,148
"08/28/2022 12:00:00 AM","<2 Years",18.732305325058753,0.04,0.009,149
"10/09/2022 12:00:00 AM","12 - 17 Years",3.909439942348153,0.711,0.608,150
"08/28/2022 12:00:00 AM","2 - 4 Years",20.85127636172975,0.066,0.016,151
"10/09/2022 12:00:00 AM","18 - 24 Years",6.14273490271622,0.805,0.655,152
"10/09/2022 12:00:00 AM","25 - 49 Years",6.931527885734705,0.84,0.71,153
"10/09/2022 12:00:00 AM","50 - 64 Years",6.508357241050064,0.946,0.827,154
"08/28/2022 12:00:00 AM","5 - 11 Years",18.910453351088016,0.382,0.311,155
"08/28/2022 12:00:00 AM","12 - 17 Years",21.779452229216506,0.708,0.606,156
"08/28/2022 12:00:00 AM","18 - 24 Years",21.735940287208646,0.8,0.652,157
"08/28/2022 12:00:00 AM","25 - 49 Years",22.28139447065535,0.835,0.707,158
"08/28/2022 12:00:00 AM","50 - 64 Years",20.91741701962571,0.941,0.824,159
"08/28/2022 12:00:00 AM","65+ Years",24.187923738081317,0.95,0.922,160
"08/27/2022 12:00:00 AM","<2 Years",19.106332181797114,0.04,0.009,161
"08/27/2022 12:00:00 AM","2 - 4 Years",21.401957540136305,0.066,0.016,162
"08/27/2022 12:00:00 AM","5 - 11 Years",19.27003068741464,0.382,0.311,163
"08/27/2022 12:00:00 AM","12 - 17 Years",21.929068540185717,0.708,0.606,164
"08/27/2022 12:00:00 AM","18 - 24 Years",21.97419935993213,0.8,0.651,165
"08/09/2022 12:00:00 AM","12 - 17 Years",15.258579500371406,0.706,0.604,166
"08/27/2022 12:00:00 AM","25 - 49 Years",22.63074210039954,0.835,0.707,167
"08/09/2022 12:00:00 AM","18 - 24 Years",29.238264660466026,0.798,0.65,168
"08/09/2022 12:00:00 AM","25 - 49 Years",32.52544160820907,0.834,0.706,169
"08/27/2022 12:00:00 AM","50 - 64 Years",21.289511254245532,0.941,0.824,170
